,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_CHGLO,Ipc,Kappa3,PEOE_VSA8,SMR_VSA9,fr_Al_OH_noTert
sample_1,2.25,14.20524381,-1.308648379,6.854752972,1.23,6.076020107,6.069221313,0
sample_10,2.2,16.36502672,-1.86666436,9.651484454,3.47,5.969305288,0.0,0
sample_100,1.666666667,13.8438878,-1.887749611,19.80026906,2.007379679,0.0,0.0,0
sample_101,2.5,13.7743341,-1.814902408,20.98630086,3.74,0.0,0.0,0
sample_102,2.333333333,13.71329508,-1.758168865,20.98630086,3.74,0.0,0.0,0
sample_103,2.333333333,13.71329508,-1.758168865,20.98630086,3.74,0.0,0.0,0
sample_104,1.833333333,14.12854948,-1.909376426,33.54887502,0.734693878,0.0,0.0,0
sample_105,2.166666667,13.82472839,-1.868059113,14.83446686,3.74,0.0,0.0,0
sample_106,2.166666667,13.8840073,-1.920858176,14.83446686,3.74,0.0,0.0,0
sample_107,1.692307692,16.46112226,-1.909193698,812.7027727,11.28,0.0,0.0,0
sample_108,1.857142857,16.26580617,-2.140364427,47.19725257,1.475062751,0.0,0.0,1
sample_109,2.285714286,16.13716731,-1.861139901,29.01955001,5.67,6.420821623,0.0,0
sample_11,2.2,16.36502672,-1.86666436,9.651484454,3.47,5.969305288,0.0,0
sample_110,2.0,16.13721582,-1.951296226,19.09358393,5.67,6.420821623,0.0,0
sample_111,2.5,16.53178075,-1.958031775,50.25226451,3.652815356,6.420821623,0.0,0
sample_112,1.875,16.36643606,-2.020873588,47.19725257,1.958669538,0.0,0.0,0
sample_113,2.5,16.36511716,-1.892948636,48.27551104,5.47,6.420821623,0.0,0
sample_114,2.25,16.53198487,-2.018597533,40.33920395,5.47,6.9237372,0.0,0
sample_115,1.857142857,14.61972571,-2.15138452,47.19725257,1.475062751,6.041840829,0.0,0
sample_116,1.333333333,14.08746395,-2.121839814,12.16479704,4.0,0.0,0.0,0
sample_117,0.833333333,14.01333452,-2.049741469,13.60964047,2.25,0.0,0.0,0
sample_118,1.333333333,13.81562221,-1.85689882,20.98630086,4.0,0.0,0.0,0
sample_119,1.833333333,13.91556205,-1.954342432,14.83446686,4.0,0.0,0.0,0
sample_12,2.2,16.36502672,-1.714254962,9.651484454,3.47,6.420821623,0.0,0
sample_120,1.5,13.94521522,-1.983213103,19.80026906,2.25,0.0,0.0,0
sample_121,1.142857143,16.49500987,-2.088667911,19.09358393,5.96,0.0,0.0,0
sample_122,1.714285714,16.47275948,-1.948960976,35.50960993,5.96,13.21376393,0.0,0
sample_123,2.461538462,16.53611122,-2.031132092,729.6807529,2.297415033,6.9237372,5.749511833,0
sample_124,1.142857143,14.91322627,-2.095466907,19.09358393,5.96,12.08368166,0.0,0
sample_125,1.714285714,14.83541158,-1.951779232,35.50960993,5.96,0.0,0.0,0
sample_126,2.125,16.12891862,-1.814861063,91.36757728,0.936277399,5.563451492,0.0,0
sample_127,2.111111111,16.36552806,-1.876559698,129.2253387,1.287705032,0.0,0.0,0
sample_128,1.857142857,13.78210528,-1.822323872,47.19725257,1.038264132,0.0,0.0,0
sample_129,2.125,16.2502435,-1.887328947,91.36757728,1.073981897,0.0,0.0,1
sample_13,2.0,79.91872953,-1.655371313,6.854752972,2.48,5.330089647,0.0,0
sample_130,2.5,16.25465666,-1.894289843,64.0524865,0.997109257,0.0,5.749511833,0
sample_131,2.25,16.25527441,-1.917934987,72.49526583,0.808016781,0.0,5.749511833,0
sample_132,2.5,14.53446499,-1.906127995,64.0524865,0.997109257,5.687386275,0.0,0
sample_133,2.25,14.54580357,-1.93304226,72.49526583,0.808016781,5.687386275,0.0,0
sample_134,2.888888889,16.53186128,-1.966611422,94.26737929,5.074900257,6.076020107,0.0,0
sample_135,2.666666667,16.53239943,-2.023040036,78.51304536,5.074900257,6.076020107,0.0,0
sample_136,2.142857143,14.16581175,-1.99226671,66.31310983,1.185185185,0.0,0.0,0
sample_137,1.571428571,14.06688122,-2.101310606,27.9770933,2.666666667,0.0,0.0,0
sample_138,1.428571429,13.86223338,-1.901933057,35.50960993,6.0,0.0,0.0,0
sample_139,2.0,13.94608135,-1.983765768,29.01955001,6.0,0.0,0.0,0
sample_14,1.5,35.49574318,-1.75513732,3.245112498,45.31259215,5.377087868,0.0,0
sample_140,2.0,13.98369322,-2.020283745,31.91663524,3.84,0.0,0.0,0
sample_141,2.125,13.81386693,-1.847610823,91.36757728,0.968848852,0.0,0.0,0
sample_142,2.111111111,16.13739126,-1.889898504,129.2253387,1.38925248,5.563451492,0.0,0
sample_143,2.125,13.85659694,-1.891751252,91.36757728,1.093537203,0.0,0.0,0
sample_144,1.75,13.8660978,-1.902575147,64.0524865,1.093537203,0.0,0.0,0
sample_145,1.25,13.85792627,-1.895019118,70.79892376,1.093537203,0.0,0.0,0
sample_146,1.888888889,16.25593166,-1.987108573,109.7375151,1.043572384,0.0,5.749511833,0
sample_147,1.888888889,15.05549977,-2.099361361,129.2253387,1.456737692,19.78273024,0.0,0
sample_148,1.5,14.20874424,-2.240315778,72.49526583,1.239669421,0.0,0.0,0
sample_149,1.5,14.20874424,-2.240315778,72.49526583,1.239669421,0.0,0.0,0
sample_15,2.0,35.49566236,-1.652180908,6.854752972,2.29,5.880003445,0.0,0
sample_150,1.75,14.19064365,-2.222905972,64.0524865,1.5,0.0,0.0,0
sample_151,1.75,14.19064365,-2.222905972,64.0524865,1.5,0.0,0.0,0
sample_152,1.25,14.18543661,-2.218020308,70.79892376,1.5,0.0,0.0,0
sample_153,1.25,14.18543661,-2.218020308,70.79892376,1.5,0.0,0.0,0
sample_154,2.125,14.15103371,-2.184200906,91.36757728,1.5,0.0,0.0,0
sample_155,2.375,14.17968283,-2.028770348,107.1071907,1.5,0.0,0.0,0
sample_156,1.75,14.13566164,-2.165335094,23.0053905,5.74,0.0,0.0,0
sample_157,1.5,14.08328396,-2.113692285,23.0053905,5.74,0.0,0.0,0
sample_158,2.1,16.53374061,-2.077395786,111.0417522,4.358753835,0.0,0.0,0
sample_159,1.75,14.08896196,-2.122390038,45.11498676,3.06122449,0.0,0.0,0
sample_16,2.25,14.49607704,-1.606233192,6.854752972,1.7,6.544756406,0.0,0
sample_160,1.375,14.11563569,-2.148097934,47.19725257,2.34375,0.0,0.0,0
sample_161,1.25,13.89465923,-1.933064926,61.49961227,6.0,0.0,0.0,0
sample_162,1.625,14.22041489,-2.250176954,35.64737585,2.34375,0.0,0.0,0
sample_163,1.5,14.16363839,-2.194935125,23.0053905,6.0,0.0,0.0,0
sample_164,1.625,14.23602865,-2.265263314,38.33669273,1.851851852,0.0,0.0,0
sample_165,1.666666667,16.47284916,-1.990580851,103.687916,7.96,13.21376393,0.0,0
sample_166,2.333333333,16.25097618,-2.082473119,99.31601295,4.462512563,6.606881965,0.0,1
sample_167,2.6,14.63666362,-1.910524464,348.5704618,0.75988141,11.58306779,0.0,0
sample_168,2.111111111,13.91348653,-1.94275242,129.2253387,1.425448346,0.0,0.0,0
sample_169,2.545454545,16.53210316,-1.987226026,380.1758005,2.075224642,0.0,0.0,0
sample_17,1.333333333,13.42571365,-1.476058244,2.754887502,0.0,0.0,0.0,0
sample_170,1.888888889,13.98379891,-2.011643296,129.2253387,1.562760731,0.0,0.0,0
sample_171,2.333333333,13.94860235,-1.979885628,130.6510251,1.317455005,0.0,0.0,0
sample_172,2.111111111,13.90544354,-1.939181251,129.2253387,1.562760731,0.0,0.0,0
sample_173,1.111111111,13.93108972,-1.96465117,85.75693819,1.562760731,0.0,0.0,0
sample_174,2.333333333,13.9003054,-1.932640245,145.1665367,1.883546785,0.0,0.0,0
sample_175,1.666666667,13.9724152,-2.00364452,109.7375151,1.12568089,0.0,0.0,0
sample_176,2.0,13.94626318,-1.979045687,104.2009193,1.317455005,0.0,0.0,0
sample_177,2.4,16.13770495,-2.266209533,106.4562509,1.693077005,6.420821623,0.0,0
sample_178,2.333333333,14.16479635,-2.197021753,145.1665367,2.380165289,0.0,0.0,0
sample_179,0.888888889,14.25101542,-2.278909671,93.40990953,2.0,0.0,0.0,0
sample_18,1.714285714,16.47275948,-1.948960976,35.50960993,5.96,13.21376393,0.0,0
sample_180,1.222222222,13.91819297,-1.955447537,103.687916,8.0,0.0,0.0,0
sample_181,1.222222222,14.3494641,-2.374959198,49.09358393,2.0,0.0,0.0,0
sample_182,1.357142857,16.52664103,-2.003839301,1533.476531,2.097507874,0.0,0.0,0
sample_183,1.8,14.10849832,-2.133853191,348.5704618,0.94200167,0.0,0.0,0
sample_184,2.4,13.92809457,-1.958948496,251.6671623,2.218872017,0.0,0.0,0
sample_185,1.7,14.15505355,-2.17532697,165.6373293,1.598288066,0.0,0.0,0
sample_186,1.9,14.0042386,-2.031653154,180.9125147,1.598288066,0.0,0.0,0
sample_187,1.9,13.94970206,-1.980727093,235.2901528,1.598288066,0.0,0.0,0
sample_188,1.6,13.99090283,-2.01963005,238.975896,1.381397845,0.0,0.0,0
sample_189,2.2,13.99230107,-2.020736471,195.625462,2.218872017,0.0,0.0,0
sample_19,2.0,16.2498503,-1.689184781,6.854752972,1.96,6.606881965,0.0,1
sample_190,2.4,14.17068049,-2.202318139,251.6671623,2.722222222,0.0,0.0,0
sample_191,1.1,13.93587628,-1.972088862,175.076748,8.0,0.0,0.0,0
sample_192,2.461538462,16.36574791,-2.156998406,590.967043,5.449030487,0.0,0.0,0
sample_193,1.307692308,16.48049519,-2.031129692,1589.71823,2.089799938,0.0,11.49902367,0
sample_194,1.307692308,14.86598216,-2.040031027,1589.71823,2.089799938,11.37477255,0.0,0
sample_195,1.625,16.5384904,-2.069618874,3922.2091,2.823480899,0.0,0.0,0
sample_196,1.583333333,14.07100593,-2.094837504,472.1116866,2.100913936,0.0,0.0,0
sample_197,1.833333333,13.95367087,-1.987733102,488.925094,9.74,0.0,0.0,0
sample_198,0.916666667,13.96040481,-1.994692357,488.925094,10.0,0.0,0.0,0
sample_199,1.461538462,16.47286339,-2.026296278,812.7027727,11.96,13.21376393,0.0,0
sample_2,2.0,16.12840493,-1.372725567,6.854752972,1.41,0.0,0.0,0
sample_20,1.6,16.64767929,-1.872133736,11.2451125,3.92,14.21959508,0.0,0
sample_200,1.307692308,13.9733912,-1.995602313,1589.71823,2.187074407,0.0,0.0,0
sample_201,2.0625,16.53286384,-2.037993935,6818.994323,2.700916042,0.0,0.0,0
sample_202,1.214285714,13.98197843,-2.005068753,2714.305287,2.461795458,0.0,0.0,0
sample_203,1.571428571,13.9719414,-2.0044002,1347.912253,11.74,0.0,0.0,0
sample_204,0.785714286,13.97645898,-2.008938941,1347.912253,12.0,0.0,0.0,0
sample_205,1.6,16.53910628,-2.089385574,29244.90307,5.034776864,0.0,0.0,0
sample_206,1.375,13.98453007,-2.015372038,3682.875587,13.74,0.0,0.0,0
sample_207,1.318181818,16.5357099,-2.046116221,57242.79712,15.33114334,12.84164325,0.0,0
sample_208,1.222222222,13.9937663,-2.022971034,9997.377973,15.74,0.0,0.0,0
sample_209,1.2,16.36513249,-2.02623063,22676.46375,17.47,6.420821623,0.0,0
sample_21,1.7,16.36513221,-1.987595192,22676.46375,17.21,6.420821623,0.0,0
sample_210,1.318181818,16.5357099,-2.046116221,57242.79712,15.33114334,12.84164325,0.0,0
sample_211,0.578947368,13.99970374,-2.027833368,16439.97693,18.0,0.0,0.0,0
sample_212,1.333333333,16.53236129,-2.043022712,173172.8736,19.51657662,6.420821623,0.0,0
sample_213,1.666666667,16.13744334,-1.803741519,13.60964047,1.703255132,0.0,0.0,0
sample_214,1.8,35.53916637,-1.840970838,9.651484454,4.58,0.0,0.0,0
sample_215,1.4,35.49682853,-1.750517803,11.2451125,4.58,11.76000689,0.0,0
sample_216,1.4,16.26511965,-1.790925687,11.2451125,3.92,13.21376393,0.0,2
sample_217,1.8,14.23521384,-1.753927998,9.651484454,3.49,5.917906046,6.069221313,0
sample_218,1.333333333,35.49675491,-1.828570709,20.98630086,4.58,11.76000689,0.0,0
sample_219,2.0,79.91873317,-1.87582263,9.651484454,4.48,4.82717407,0.0,0
sample_22,1.5,14.57041235,-1.810489515,3.245112498,1128.96,0.0,0.0,0
sample_220,2.0,35.49574354,-1.87093679,9.651484454,4.29,5.377087868,0.0,0
sample_221,1.6,16.4726865,-1.943288484,9.651484454,3.96,7.109797541,0.0,0
sample_222,1.333333333,16.25500966,-1.852909603,20.98630086,3.92,13.21376393,0.0,2
sample_223,1.166666667,16.3254052,-2.032005433,13.60964047,2.175102041,0.0,0.0,2
sample_224,2.0,14.58649798,-1.914194524,9.651484454,3.96,6.041840829,0.0,0
sample_225,1.2,14.66511263,-2.058722205,3.609640474,9507.96,5.538925252,0.0,0
sample_226,2.5,14.21894117,-1.7688119,20.98630086,3.49,6.420821623,6.069221313,0
sample_227,2.0,13.74471729,-1.793114555,9.651484454,3.74,0.0,0.0,0
sample_228,1.6,13.68031815,-1.735429034,9.651484454,3.74,0.0,0.0,0
sample_229,1.8,13.79748942,-1.837191163,9.651484454,3.74,0.0,0.0,0
sample_23,2.0,14.50403766,-1.697660194,6.854752972,1.96,0.0,0.0,0
sample_230,1.428571429,35.49675187,-1.880790488,35.50960993,6.58,11.76000689,0.0,0
sample_231,1.666666667,16.13778272,-1.903615814,13.60964047,1.942479564,5.917906046,0.0,0
sample_232,2.0,16.54066754,-2.013883791,19.09358393,5.47,6.9237372,0.0,0
sample_233,2.285714286,16.36634726,-1.959439113,27.9770933,2.201261426,0.0,0.0,0
sample_234,2.428571429,16.36511468,-1.950431502,29.01955001,5.47,5.969305288,0.0,0
sample_235,1.666666667,14.85190959,-2.081750218,34.39946188,0.976756002,0.0,0.0,0
sample_236,1.5,16.25193113,-2.109637708,12.16479704,3.96,6.606881965,0.0,1
sample_237,1.545454545,16.47427643,-2.1188762,242.1673463,6.361606426,13.21376393,0.0,0
sample_238,1.545454545,16.49646365,-2.173164966,209.9082179,6.361606426,0.0,0.0,0
sample_239,1.333333333,16.4858882,-2.136597244,12.16479704,3.96,7.109797541,0.0,0
sample_24,1.0,15.00850169,-1.900768976,3.245112498,1128.96,0.0,0.0,0
sample_240,2.0,16.46203105,-1.972528361,14.83446686,3.96,13.71667951,0.0,0
sample_241,2.166666667,14.50860523,-1.861788465,20.98630086,3.96,0.0,0.0,0
sample_242,2.714285714,14.60479004,-1.816591041,47.19725257,0.999576996,12.39368714,0.0,0
sample_243,1.5,13.83677686,-1.878115516,34.39946188,0.712724173,0.0,0.0,0
sample_244,2.666666667,13.92143018,-1.783456115,33.54887502,0.509721079,0.0,0.0,0
sample_245,1.166666667,13.83606507,-1.878847201,13.60964047,1.767356322,0.0,0.0,0
sample_246,1.5,13.72037083,-1.761368043,20.98630086,3.48,0.0,0.0,0
sample_247,2.571428571,14.2197739,-1.841926486,35.50960993,5.49,6.420821623,6.069221313,0
sample_248,1.5,14.04703317,-2.077519337,12.16479704,3.74,0.0,0.0,0
sample_249,2.0,13.74572763,-1.79669013,14.83446686,3.74,0.0,0.0,0
sample_25,1.25,13.37805379,-1.441711418,6.854752972,1.48,0.0,0.0,0
sample_250,2.333333333,13.89866469,-1.934487318,19.80026906,2.007379679,0.0,0.0,0
sample_251,1.666666667,16.13778272,-1.903615814,13.60964047,1.942479564,5.917906046,0.0,0
sample_252,2.571428571,16.12871959,-1.852705261,35.50960993,5.67,6.420821623,0.0,0
sample_253,2.142857143,16.13775208,-1.86719045,31.91663524,3.501720078,12.84164325,0.0,0
sample_254,2.375,16.54123532,-2.061122888,42.84459141,3.652815356,6.9237372,0.0,0
sample_255,1.75,16.55147841,-2.168894578,23.0053905,5.47,6.9237372,0.0,0
sample_256,2.25,16.53264961,-2.013470742,45.11498676,2.61092148,0.0,0.0,0
sample_257,2.5,16.5322399,-1.966689696,56.62563226,3.652815356,6.420821623,0.0,0
sample_258,1.461538462,16.47286339,-2.026296278,812.7027727,11.96,13.21376393,0.0,0
sample_259,1.714285714,16.25096654,-2.040620862,34.39946188,2.63114094,6.606881965,0.0,1
sample_26,1.6,16.46043225,-1.762224851,11.2451125,3.28,0.0,0.0,0
sample_260,2.285714286,16.24992271,-1.899002085,35.50960993,5.96,6.606881965,0.0,1
sample_261,2.285714286,16.26466185,-1.978774315,29.01955001,5.96,0.0,0.0,1
sample_262,2.285714286,16.25090186,-2.012310275,31.91663524,3.79903486,6.606881965,0.0,1
sample_263,1.714285714,16.2647329,-2.042812921,19.09358393,5.96,0.0,0.0,1
sample_264,1.076923077,16.52329735,-2.385551365,521.3367838,3.678215683,0.0,0.0,0
sample_265,1.25,16.25180906,-1.927387653,61.49961227,5.92,13.21376393,0.0,2
sample_266,2.285714286,14.50888215,-1.904498157,35.50960993,5.96,0.0,0.0,0
sample_267,1.5,16.136528,-1.557836365,3.245112498,6.883957759,0.0,0.0,0
sample_268,1.5,16.26364309,-1.79830148,3.245112498,1128.96,6.103966388,0.0,1
sample_269,1.777777778,16.46111233,-1.854045642,103.687916,7.28,0.0,0.0,0
sample_27,2.2,16.12896482,-1.654262908,9.651484454,3.41,0.0,0.0,0
sample_270,1.8,13.7867319,-1.568184441,22.88643539,0.37979273,0.0,0.0,0
sample_271,2.857142857,16.51688038,-1.902967549,35.50960993,5.47,0.0,0.0,0
sample_272,2.142857143,16.36519457,-1.938278132,19.09358393,5.47,6.420821623,0.0,0
sample_273,2.625,16.5314464,-1.959289019,48.27551104,5.47,6.9237372,0.0,0
sample_274,1.857142857,14.84403538,-1.912866418,58.9741478,1.929381688,0.0,0.0,0
sample_275,2.0,16.25462852,-1.887893407,70.79892376,0.997109257,0.0,5.749511833,0
sample_276,2.0,14.53304878,-1.898798223,70.79892376,0.997109257,5.687386275,0.0,0
sample_277,2.571428571,13.83438555,-1.873112566,35.50960993,5.74,0.0,0.0,0
sample_278,1.857142857,14.11563249,-2.150526872,47.19725257,1.5,0.0,0.0,0
sample_279,1.142857143,14.18917491,-2.220409681,17.08616633,2.666666667,0.0,0.0,0
sample_28,2.5,16.52244456,-1.825544755,19.80026906,1.52152648,6.076020107,0.0,0
sample_280,1.5,13.89538834,-1.930148756,72.49526583,0.890007391,0.0,0.0,0
sample_281,2.5,13.87500337,-1.912518005,61.49961227,5.74,0.0,0.0,0
sample_282,2.545454545,16.53165185,-1.993591631,349.029098,2.846053041,6.9237372,0.0,0
sample_283,1.571428571,16.52953599,-2.042157788,1540.839259,1.903940309,0.0,0.0,0
sample_284,2.3,14.03640684,-2.061745672,237.5874173,1.598288066,0.0,0.0,0
sample_285,1.3,13.93816979,-1.969818495,237.5874173,1.598288066,0.0,0.0,0
sample_286,2.2,13.92497964,-1.960667104,175.076748,7.74,0.0,0.0,0
sample_287,1.636363636,16.24992598,-1.982959197,292.886063,9.96,6.606881965,0.0,1
sample_288,1.083333333,14.05676277,-2.081145406,473.9553411,2.100913936,0.0,0.0,0
sample_289,1.357142857,14.09641638,-2.110557674,2580.414244,1.847560983,5.917906046,0.0,0
sample_29,2.5,16.52637933,-1.827414223,14.83446686,3.21,6.9237372,0.0,0
sample_290,0.6875,13.98776473,-2.018490412,3682.875587,14.0,0.0,0.0,0
sample_291,1.5,79.91873315,-1.759670434,3.245112498,23.57722222,4.82717407,0.0,0
sample_292,1.2,35.49582465,-2.013699489,3.609640474,267.50522,4.874172291,0.0,0
sample_293,2.142857143,14.60038551,-1.817684811,47.19725257,0.999576996,12.39368714,0.0,0
sample_294,2.75,16.51688568,-1.931914315,61.49961227,5.47,0.0,0.0,0
sample_3,2.2,16.36447321,-1.63999937,9.651484454,3.21,6.076020107,0.0,0
sample_30,2.4,14.2170185,-1.654000239,11.2451125,3.49,6.420821623,6.069221313,0
sample_31,2.25,13.52227972,-1.573878124,6.854752972,1.74,0.0,0.0,0
sample_32,1.25,13.42649001,-1.490773687,6.854752972,1.74,0.0,0.0,0
sample_33,1.25,13.42649001,-1.490773687,6.854752972,1.74,0.0,0.0,0
sample_34,1.5,13.59310487,-1.650045539,3.245112498,14.09502959,0.0,0.0,0
sample_35,2.4,16.12871272,-1.680047767,11.2451125,3.67,6.420821623,0.0,0
sample_36,1.8,16.12926847,-1.784057067,9.651484454,3.67,5.917906046,0.0,0
sample_37,2.0,16.13711378,-1.711045177,9.651484454,3.67,6.420821623,0.0,0
sample_38,1.8,16.47808085,-1.764025782,22.88643539,0.618363684,13.21376393,0.0,0
sample_39,2.333333333,16.36510567,-1.794289974,14.83446686,3.47,6.420821623,0.0,0
sample_4,2.25,35.49566224,-1.548198821,6.854752972,2.03,5.880003445,0.0,0
sample_40,2.333333333,16.53089092,-1.88976749,14.83446686,3.47,6.9237372,0.0,0
sample_41,1.833333333,16.36625913,-1.88703989,13.60964047,1.758184438,0.0,0.0,0
sample_42,2.333333333,16.52286937,-1.867522508,19.80026906,1.758184438,6.420821623,0.0,0
sample_43,2.666666667,16.51684151,-1.861193117,20.98630086,3.47,0.0,0.0,0
sample_44,2.2,79.91872955,-1.772549688,11.2451125,4.48,5.330089647,0.0,0
sample_45,2.2,35.49566242,-1.769538504,11.2451125,4.29,5.880003445,0.0,0
sample_46,1.25,13.63020517,-1.676333473,6.854752972,2.0,0.0,0.0,0
sample_47,1.0,13.7440511,-1.787571289,3.245112498,0.0,0.0,0.0,0
sample_48,2.2,16.24991399,-1.789700731,11.2451125,3.96,6.606881965,0.0,1
sample_49,2.0,16.26458483,-1.900915745,9.651484454,3.96,0.0,0.0,1
sample_5,2.0,13.23621641,-1.305060596,2.754887502,1.74,0.0,0.0,0
sample_50,1.2,16.27984148,-2.041982881,3.609640474,9507.96,0.0,0.0,0
sample_51,1.6,16.47148979,-1.858975525,11.2451125,3.96,13.21376393,0.0,0
sample_52,1.8,16.25082235,-1.895920976,9.651484454,3.96,6.606881965,0.0,1
sample_53,2.166666667,16.2748705,-1.945893501,14.83446686,3.92,6.606881965,0.0,2
sample_54,2.2,14.50764735,-1.798091068,11.2451125,3.96,0.0,0.0,0
sample_55,1.6,14.82256119,-1.858060526,11.2451125,3.96,0.0,0.0,0
sample_56,1.8,14.52567732,-1.906327422,9.651484454,3.96,0.0,0.0,0
sample_57,1.666666667,14.59724306,-1.696567022,34.39946188,0.549000848,12.39368714,0.0,0
sample_58,1.8,13.90895583,-1.686660676,22.88643539,0.503980131,0.0,0.0,0
sample_59,2.0,13.66320111,-1.712739218,9.651484454,3.48,0.0,0.0,0
sample_6,2.0,35.49803159,-1.67705334,9.651484454,4.32,10.56748828,0.0,0
sample_60,1.428571429,16.14747061,-1.811293312,19.09358393,5.34,0.0,0.0,0
sample_61,2.714285714,16.53115063,-1.904768452,29.01955001,5.21,6.9237372,0.0,0
sample_62,2.714285714,16.53130599,-1.902898012,31.91663524,3.028890663,6.076020107,0.0,0
sample_63,0.8,14.013,-1.670721928,22.88643539,0.64,0.0,0.0,0
sample_64,2.4,13.68028987,-1.724284144,11.2451125,3.74,0.0,0.0,0
sample_65,1.666666667,16.13770405,-1.808776678,19.80026906,1.942479564,12.84164325,0.0,0
sample_66,2.166666667,16.13716138,-1.801578671,14.83446686,3.67,6.420821623,0.0,0
sample_67,2.5,16.12871809,-1.785134081,20.98630086,3.67,6.420821623,0.0,0
sample_68,2.285714286,16.53172313,-1.933137479,31.91663524,3.296334149,6.420821623,0.0,0
sample_69,2.428571429,16.51743497,-1.978758237,29.01955001,5.47,0.0,0.0,0
sample_7,2.25,16.24941516,-1.599576521,6.854752972,1.7,0.0,0.0,1
sample_70,2.428571429,16.36511468,-1.950431502,29.01955001,5.47,5.969305288,0.0,0
sample_71,2.428571429,16.36511468,-1.851296363,29.01955001,5.47,6.420821623,0.0,0
sample_72,2.166666667,35.49566247,-1.843038509,20.98630086,4.29,5.880003445,0.0,0
sample_73,1.6,13.86045324,-1.900999284,9.651484454,4.0,0.0,0.0,0
sample_74,0.8,14.01250056,-2.049286529,3.609640474,0.0,0.0,0.0,0
sample_75,1.4,13.74496242,-1.788234799,11.2451125,4.0,0.0,0.0,0
sample_76,2.166666667,16.25089413,-1.975433477,19.80026906,2.212525253,6.606881965,0.0,1
sample_77,1.666666667,16.28087593,-2.110586251,12.16479704,3.96,0.0,0.0,0
sample_78,2.0,16.24998626,-1.949303399,14.83446686,3.96,6.606881965,0.0,1
sample_79,1.333333333,16.26564967,-2.04061755,13.60964047,2.212525253,0.0,0.0,1
sample_8,1.714285714,16.46106371,-1.817032027,35.50960993,5.28,0.0,0.0,0
sample_80,2.166666667,16.24992099,-1.854824491,20.98630086,3.96,6.606881965,0.0,1
sample_81,2.166666667,16.26465424,-1.950574511,14.83446686,3.96,0.0,0.0,1
sample_82,1.666666667,16.26553198,-1.977831472,19.80026906,2.212525253,0.0,0.0,1
sample_83,1.428571429,16.26914524,-2.157245643,26.83874054,2.595675676,5.414990469,0.0,2
sample_84,1.428571429,16.25245081,-1.896187566,35.50960993,5.92,13.21376393,0.0,2
sample_85,1.5,35.49826032,-1.879742844,72.49526583,1.145679012,0.0,0.0,0
sample_86,1.857142857,79.91873092,-1.800258661,47.19725257,1.316124136,4.472719516,0.0,0
sample_87,1.857142857,35.49569066,-1.795552968,47.19725257,1.203610472,5.022633314,0.0,0
sample_88,0.666666667,13.64699316,-1.694261733,34.39946188,0.58239926,0.0,0.0,0
sample_89,1.857142857,16.25462015,-1.819353576,47.19725257,0.92905918,0.0,5.749511833,0
sample_9,2.25,16.12866987,-1.510257885,6.854752972,1.67,6.420821623,0.0,0
sample_90,1.25,16.26017863,-1.88145823,70.79892376,0.904141896,0.0,11.49902367,0
sample_91,1.857142857,14.53191101,-1.832534423,47.19725257,0.92905918,5.687386275,0.0,0
sample_92,2.571428571,14.64112499,-1.817671585,47.19725257,0.999576996,11.89077157,0.0,0
sample_93,1.5,14.23261084,-1.826456268,61.49961227,4.98,12.84164325,12.13844263,0
sample_94,1.5,13.93094948,-1.970042106,34.39946188,0.852214547,0.0,0.0,0
sample_95,1.857142857,16.13789093,-2.047611858,47.19725257,1.29814875,12.84164325,0.0,0
sample_96,1.714285714,16.13687028,-1.800981025,19.09358393,5.41,0.0,0.0,0
sample_97,0.666666667,14.014,-2.052305973,34.39946188,1.0,0.0,0.0,0
sample_98,1.666666667,13.93316279,-1.971871381,13.60964047,2.007379679,0.0,0.0,0
sample_99,0.833333333,13.82480066,-1.875366063,13.60964047,2.007379679,0.0,0.0,0
